GEOCODE,CATEG_ID,LEVEL_1,Departamento,LEVEL_3,Distrito,NAME_STD,SOURCE,VERSION,FEATURE_ID,NAME,CATEG_NAME,pixeles_validos,pixeles_cambiados,pixeles_no_cambiados,% Cambio
220707,95,Perú,San Martin,Picota,San Hilarion,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,904,[San Hilarion][Picota][San Martin][Perú],POLITICAL_LEVEL_4,118744,47519,71225,40.018021963214984
220806,95,Perú,San Martin,Rioja,Posic,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1001,[Posic][Rioja][San Martin][Perú],POLITICAL_LEVEL_4,60252,24106,36146,40.00863041890725
220406,95,Perú,San Martin,Huallaga,Tingo De Saposoa,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,898,[Tingo De Saposoa][Huallaga][San Martin][Perú],POLITICAL_LEVEL_4,53693,21079,32614,39.258376324660574
100901,95,Perú,Huanuco,Puerto Inca,Puerto Inca,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,812,[Puerto Inca][Puerto Inca][Huanuco][Perú],POLITICAL_LEVEL_4,2715919,1065456,1650463,39.230035947316544
010513,95,Perú,Amazonas,Luya,Ocumal,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1266,[Ocumal][Luya][Amazonas][Perú],POLITICAL_LEVEL_4,349025,136317,212708,39.05651457631974
010105,95,Perú,Amazonas,Chachapoyas,Chiliquin,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1283,[Chiliquin][Chachapoyas][Amazonas][Perú],POLITICAL_LEVEL_4,160342,62492,97850,38.97419266318245
220105,95,Perú,San Martin,Moyobamba,Soritor,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1647,[Soritor][Moyobamba][San Martin][Perú],POLITICAL_LEVEL_4,659075,255600,403475,38.7816257633805
220201,95,Perú,San Martin,Bellavista,Bellavista,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,905,[Bellavista][Bellavista][San Martin][Perú],POLITICAL_LEVEL_4,294028,113950,180078,38.754812466839894
060803,95,Perú,Cajamarca,Jaen,Chontali,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1022,[Chontali][Jaen][Cajamarca][Perú],POLITICAL_LEVEL_4,521791,202075,319716,38.72719153837456
010511,95,Perú,Amazonas,Luya,Maria,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1252,[Maria][Luya][Amazonas][Perú],POLITICAL_LEVEL_4,63361,24496,38865,38.66100598159751
