zona_id,area_km2,n_pixels,centroid_lat,centroid_lon,bbox_minr,bbox_minc,bbox_maxr,bbox_maxc
3517,2.322463,2619.000000,-9.372116,-73.957241,34577,20468,34696,20573
1072,2.321577,2618.000000,-4.248660,-75.231274,15581,15693,15667,15869
1952,2.321577,2618.000000,-5.430114,-76.630191,19971,10552,20044,10636
4977,2.321577,2618.000000,-12.834239,-72.358279,47428,26365,47531,26520
507,2.320690,2617.000000,-3.520927,-73.490127,12886,22194,12956,22289
4001,2.320690,2617.000000,-10.756042,-75.045780,39722,16420,39840,16536
5218,2.319803,2616.000000,-13.262008,-70.586488,49015,32914,49174,33118
1166,2.318916,2615.000000,-4.359598,-75.811231,15895,13587,16161,13732
5083,2.317143,2613.000000,-12.979304,-72.691882,47972,25143,48074,25302
188,2.314482,2610.000000,-2.362841,-73.700291,8580,21429,8669,21512
3519,2.314482,2610.000000,-9.375499,-75.756335,34596,13807,34700,13865
4154,2.311822,2607.000000,-11.029643,-71.074680,40706,31035,40830,31342
2549,2.310935,2606.000000,-6.578476,-75.981176,24235,12935,24324,13059
1914,2.310049,2605.000000,-5.346393,-78.888271,19627,2176,19788,2260
4691,2.310049,2605.000000,-12.323813,-69.277198,45541,37820,45659,37937
2620,2.309162,2604.000000,-6.787585,-77.250083,24936,8246,25131,8361
4100,2.309162,2604.000000,-10.920037,-74.704534,40307,17703,40441,17782
956,2.309162,2604.000000,-4.130195,-76.539331,15130,10888,15226,10969
4374,2.305615,2600.000000,-11.498679,-75.145913,42413,16049,42604,16154
1910,2.304728,2599.000000,-5.334039,-76.596441,19608,10687,19698,10748
2283,2.302954,2597.000000,-6.026350,-77.874825,22150,5927,22283,6050
4343,2.302068,2596.000000,-11.385732,-73.013189,42047,23931,42158,24078
3151,2.300294,2594.000000,-8.447802,-74.519942,31137,18391,31286,18479
4990,2.297634,2591.000000,-12.855448,-73.653922,47513,21593,47604,21706
5259,2.295860,2589.000000,-13.389186,-69.115180,49454,38374,49662,38610
2322,2.295860,2589.000000,-6.087542,-78.223427,22395,4599,22497,4724
2307,2.294973,2588.000000,-6.056479,-78.179509,22274,4757,22385,4909
570,2.294973,2588.000000,-3.679124,-76.762144,13354,10040,13662,10161
496,2.294973,2588.000000,-3.504521,-74.700252,12813,17721,12928,17806
2800,2.294087,2587.000000,-7.465101,-77.459130,27488,7476,27634,7551
1685,2.293200,2586.000000,-4.982921,-76.148301,18301,12353,18395,12424
1426,2.292313,2585.000000,-4.636262,-74.049703,16920,20071,17184,20294
3695,2.291426,2584.000000,-9.796521,-73.884906,36175,20734,36242,20833
452,2.290540,2583.000000,-3.438261,-76.773163,12573,10014,12649,10119
2667,2.290540,2583.000000,-6.950759,-77.069675,25450,8930,25823,8987
2056,2.289653,2582.000000,-5.632730,-78.022417,20722,5351,20789,5496
377,2.289653,2582.000000,-3.241708,-72.931823,11849,24276,11930,24367
4396,2.288766,2581.000000,-11.565450,-72.033622,42589,27598,42896,27714
5054,2.286106,2578.000000,-12.936979,-73.096601,47801,23661,47918,23738
5346,2.286106,2578.000000,-13.917416,-69.138165,51457,38340,51539,38447
265,2.285219,2577.000000,-2.719131,-75.087325,9872,16254,10025,16377
4771,2.284332,2576.000000,-12.525848,-73.890909,46300,20691,46383,20812
2132,2.282559,2574.000000,-5.788796,-78.854195,21266,2290,21399,2384
911,2.282559,2574.000000,-4.069499,-75.825744,14909,13524,15014,13617
920,2.281672,2573.000000,-4.090436,-75.373499,14947,15205,15104,15343
1478,2.280785,2572.000000,-4.686037,-76.569436,17188,10748,17305,10901
4054,2.279898,2571.000000,-10.849487,-74.239742,40066,19433,40157,19508
4955,2.279898,2571.000000,-12.814439,-72.235726,47346,26853,47465,26941
2235,2.278125,2569.000000,-5.961905,-77.968709,21926,5583,22052,5664
2902,2.275464,2566.000000,-7.834980,-77.364715,28868,7806,28988,7941
1003,2.274578,2565.000000,-4.240573,-77.958766,15316,5544,15852,5753
2837,2.273691,2564.000000,-7.642469,-75.229313,27952,15586,28581,16071
4880,2.273691,2564.000000,-12.713439,-69.985094,46987,35221,47070,35292
1039,2.272804,2563.000000,-4.208946,-75.600131,15427,14363,15524,14465
