geocode,departamento,distrito,anio,pct_urbano
220709,San Martin,Tingo De Ponasa,2017,0.003975
220304,San Martin,Santa Rosa,2017,0.002901
100903,Huanuco,Honoria,2017,0.001089
220203,San Martin,Bajo Biavo,2017,0.002901
220710,San Martin,Tres Unidos,2017,0.00155
220510,San Martin,Tabalosos,2017,0.003663
100904,Huanuco,Tournavista,2017,0.000448
010701,Amazonas,Bagua Grande,2017,0.017507
220701,San Martin,Picota,2017,0.017644
220403,San Martin,El Eslabon,2017,0.003624
250105,Ucayali,Yarinacocha,2017,0.037184
220914,San Martin,Shapaja,2017,0.002129
010707,Amazonas,Yamon,2017,0.001512
010705,Amazonas,Jamalca,2017,0.001825
220205,San Martin,San Pablo,2017,0.005523
220705,San Martin,Pucacaca,2017,0.013207
220601,San Martin,Juanjui,2017,0.014182
100905,Huanuco,Yuyapichis,2017,0.000378
100608,Huanuco,Castillo Grande,2017,0.020289
220302,San Martin,Agua Blanca,2017,0.002321
250306,Ucayali,Huipoca,2017,0.000699
010611,Amazonas,Totora,2017,0.003246
010706,Amazonas,Lonya Grande,2017,0.000999
220706,San Martin,San Cristobal,2017,0.016439
010303,Amazonas,Churuja,2017,0.002711
220301,San Martin,San Jose De Sisa,2017,0.006072
010204,Amazonas,El Parco,2017,0.010429
010306,Amazonas,Florida,2017,0.004271
220303,San Martin,San Martin,2017,0.001553
220106,San Martin,Yantalo,2017,0.013082
220305,San Martin,Shatoja,2017,0.004641
010104,Amazonas,Cheto,2017,0.000885
160201,Loreto,Yurimaguas,2017,0.00587
060901,Cajamarca,San Ignacio,2017,0.006368
220511,San Martin,Zapatero,2017,0.003325
060811,Cajamarca,San Jose Del Alto,2017,0.001013
010206,Amazonas,La Peca,2017,0.004609
220401,San Martin,Saposoa,2017,0.003132
060902,Cajamarca,Chirinos,2017,0.003423
220908,San Martin,Juan Guerra,2017,0.00696
060904,Cajamarca,La Coipa,2017,0.002625
220808,San Martin,Yorongos,2017,0.007003
120607,Junin,Rio Negro,2017,0.003203
060812,Cajamarca,Santa Rosa,2017,0.002178
250106,Ucayali,Nueva Requena,2017,0.00053
220802,San Martin,Awajun,2017,0.003646
250302,Ucayali,Irazola,2017,0.000564
010109,Amazonas,La Jalca,2017,0.002708
220906,San Martin,El Porvenir,2017,0.001447
220707,San Martin,San Hilarion,2017,0.019461
220806,San Martin,Posic,2017,0.021312
220406,San Martin,Tingo De Saposoa,2017,0.004783
100901,Huanuco,Puerto Inca,2017,0.00098
010105,Amazonas,Chiliquin,2017,0.0
220105,San Martin,Soritor,2017,0.009195
220201,San Martin,Bellavista,2017,0.027171
060803,Cajamarca,Chontali,2017,0.000853
100605,Huanuco,Luyando,2017,0.014399
010307,Amazonas,Jazan,2017,0.008982
010502,Amazonas,Camporredondo,2017,0.003544
010515,Amazonas,Providencia,2017,0.000695
010102,Amazonas,Asuncion,2017,0.0
010510,Amazonas,Luya Viejo,2017,0.000998
100601,Huanuco,Rupa-Rupa,2017,0.019041
010514,Amazonas,Pisuquia,2017,0.000361
060810,Cajamarca,San Felipe,2017,0.002588
010305,Amazonas,Cuispes,2017,0.001909
060905,Cajamarca,Namballe,2017,0.000692
010119,Amazonas,San Isidro De Maino,2017,0.001277
060801,Cajamarca,Jaen,2017,0.024394
010513,Amazonas,Ocumal,2017,0.000858
220912,San Martin,San Antonio,2017,0.004732
220903,San Martin,Cacatachi,2017,0.050676
120602,Junin,Coviriali,2017,0.003747
120304,Junin,San Luis De Shuaro,2017,0.001292
120601,Junin,Satipo,2017,0.006913
010203,Amazonas,Copallin,2017,0.004326
010112,Amazonas,Magdalena,2017,0.00168
220102,San Martin,Calzada,2017,0.020014
060805,Cajamarca,Huabal,2017,0.002717
010610,Amazonas,Santa Rosa,2017,0.00356
220503,San Martin,Barranquita,2017,0.000675
220801,San Martin,Rioja,2017,0.054576
220703,San Martin,Caspisapa,2017,0.00989
080904,Cusco,Maranura,2017,0.003109
010117,Amazonas,Quinjalca,2017,0.000205
250303,Ucayali,Curimana,2017,0.00106
010308,Amazonas,Recta,2017,0.0
010115,Amazonas,Montevideo,2017,0.001177
010114,Amazonas,Molinopampa,2017,0.000591
010503,Amazonas,Cocabamba,2017,0.000273
060809,Cajamarca,Sallique,2017,0.00149
010120,Amazonas,Soloco,2017,0.000618
010521,Amazonas,Santo Tomas,2017,0.002963
100113,Huanuco,San Pablo De Pillao,2017,0.000476
010602,Amazonas,Chirimoto,2017,0.000462
100603,Huanuco,Hermilio Valdizan,2017,0.000179
010111,Amazonas,Levanto,2017,0.001509
010518,Amazonas,San Jeronimo,2017,0.000655
010609,Amazonas,Omia,2017,0.0003
100902,Huanuco,Codo Del Pozuzo,2017,0.000245
010113,Amazonas,Mariscal Castilla,2017,0.002591
220101,San Martin,Moyobamba,2017,0.005523
010310,Amazonas,Shipasbamba,2017,0.001675
100103,Huanuco,Chinchao,2017,0.000599
010311,Amazonas,Valera,2017,0.001413
060907,Cajamarca,Tabaconas,2017,0.000998
160112,Loreto,Belen,2017,0.005301
200307,Piura,Sondor,2017,0.001643
220803,San Martin,Elias Soplin Vargas,2017,0.016577
010506,Amazonas,Inguilpata,2017,0.000818
220506,San Martin,Pinto Recodo,2017,0.000947
120303,Junin,Pichanaqui,2017,0.004174
010202,Amazonas,Aramango,2017,0.000623
010606,Amazonas,Longar,2017,0.002325
160101,Loreto,Iquitos,2017,0.032523
010507,Amazonas,Longuita,2017,0.000773
221001,San Martin,Tocache,2017,0.008058
010511,Amazonas,Maria,2017,0.00076
080901,Cusco,Santa Ana,2017,0.01429
120302,Junin,Perene,2017,0.005299
050409,Ayacucho,Canayre,2017,0.002344
221002,San Martin,Nuevo Progreso,2017,0.003078
200303,Piura,El Carmen De La Frontera,2017,0.000396
100609,Huanuco,Pueblo Nuevo,2017,0.000877
080903,Cusco,Huayopata,2017,0.001549
010604,Amazonas,Huambo,2017,0.003125
100505,Huanuco,Jircan,2017,0.000111
010512,Amazonas,Ocalli,2017,0.002095
010101,Amazonas,Chachapoyas,2017,0.046634
060903,Cajamarca,Huarango,2017,0.001013
010116,Amazonas,Olleros,2017,0.0
010605,Amazonas,Limabamba,2017,0.000422
100804,Huanuco,Umari,2017,0.000566
220504,San Martin,Caynarachi,2017,0.001664
080905,Cusco,Ocobamba,2017,0.000514
010517,Amazonas,San Francisco Del Yeso,2017,0.000288
120609,Junin,Vizcatán Del Ene,2017,0.000698
060807,Cajamarca,Pomahuaca,2017,0.001005
010304,Amazonas,Corosha,2017,0.0
221005,San Martin,Uchiza,2017,0.005898
220807,San Martin,San Fernando,2017,0.002767
050512,Ayacucho,Union Progreso,2017,0.010367
060804,Cajamarca,Colasay,2017,0.001016
160503,Loreto,Capelo,2017,0.000489
220910,San Martin,Morales,2017,0.094037
120604,Junin,Mazamari,2017,0.00308
120603,Junin,Llaylla,2017,0.001202
010520,Amazonas,Santa Catalina,2017,0.001026
010603,Amazonas,Cochamal,2017,0.000674
120209,Junin,Mariscal Castilla,2017,0.003861
010601,Amazonas,San Nicolas,2017,0.011875
010519,Amazonas,San Juan De Lopecancha,2017,4.1e-05
160211,Loreto,Teniente Cesar Lopez Rojas,2017,0.000521
080408,Cusco,Yanatile,2017,0.000652
050408,Ayacucho,Llochegua,2017,0.00276
100507,Huanuco,Monzon,2017,0.001553
081304,Cusco,Machupicchu,2017,0.000883
220909,San Martin,La Banda De Shilcayo,2017,0.032619
220103,San Martin,Habana,2017,0.024447
100606,Huanuco,Mariano Damaso Beraun,2017,0.001258
010508,Amazonas,Lonya Chico,2017,0.00536
170102,Madre De Dios,Inambari,2017,0.000776
050502,Ayacucho,Anco,2017,0.001448
010523,Amazonas,Trita,2017,0.019592
010516,Amazonas,San Cristobal,2017,0.002852
080918,Cusco,Union Ashaninka,2017,0.002774
221006,San Martin,Santa Lucia,2017,0.00559
100702,Huanuco,Cholon,2017,0.000557
211205,Puno,Phara,2017,0.000159
170204,Madre De Dios,Huepetuhe,2017,0.000851
010302,Amazonas,Chisquilla,2017,0.0
050507,Ayacucho,Santa Rosa,2017,0.004445
220804,San Martin,Nueva Cajamarca,2017,0.035574
220809,San Martin,Yuracyacu,2017,0.018502
160603,Loreto,Padre Marquez,2017,0.000253
010522,Amazonas,Tingo,2017,0.004012
080906,Cusco,Quellouno,2017,0.000586
010301,Amazonas,Jumbilla,2017,0.0018
080917,Cusco,Manitea,2017,0.003351
250305,Ucayali,Alexander Von Humboldt,2018,0.007335
220509,San Martin,Shanao,2018,0.005109
250304,Ucayali,Neshuya,2018,0.004624
220501,San Martin,Lamas,2018,0.022546
220902,San Martin,Alberto Leveau,2018,0.002916
250102,Ucayali,Campoverde,2018,0.005768
220702,San Martin,Buenos Aires,2018,0.003726
220502,San Martin,Alonso De Alvarado,2018,0.004104
220404,San Martin,Piscoyacu,2018,0.004089
220708,San Martin,Shamboyacu,2018,0.000884
220204,San Martin,Huallaga,2018,0.001993
220605,San Martin,Pajarillo,2018,0.003329
010703,Amazonas,Cumba,2018,0.002258
220704,San Martin,Pilluana,2018,0.010116
220104,San Martin,Jepelacio,2018,0.006604
220505,San Martin,Cuñumbuqui,2018,0.004815
220507,San Martin,Rumisapa,2018,0.02146
220913,San Martin,Sauce,2018,0.009969
010608,Amazonas,Milpuc,2018,0.000703
220405,San Martin,Sacanche,2018,0.002903
220709,San Martin,Tingo De Ponasa,2018,0.004049
220304,San Martin,Santa Rosa,2018,0.002904
100903,Huanuco,Honoria,2018,0.001137
220203,San Martin,Bajo Biavo,2018,0.002914
220710,San Martin,Tres Unidos,2018,0.001625
220510,San Martin,Tabalosos,2018,0.003704
100904,Huanuco,Tournavista,2018,0.000473
010701,Amazonas,Bagua Grande,2018,0.017674
220701,San Martin,Picota,2018,0.017775
220403,San Martin,El Eslabon,2018,0.003646
250105,Ucayali,Yarinacocha,2018,0.038172
220914,San Martin,Shapaja,2018,0.0022
010707,Amazonas,Yamon,2018,0.001485
010705,Amazonas,Jamalca,2018,0.001731
220205,San Martin,San Pablo,2018,0.005689
220705,San Martin,Pucacaca,2018,0.013364
220601,San Martin,Juanjui,2018,0.014662
100905,Huanuco,Yuyapichis,2018,0.000398
100608,Huanuco,Castillo Grande,2018,0.020932
220302,San Martin,Agua Blanca,2018,0.002362
250306,Ucayali,Huipoca,2018,0.000737
010611,Amazonas,Totora,2018,0.003246
010706,Amazonas,Lonya Grande,2018,0.000999
220706,San Martin,San Cristobal,2018,0.017236
010303,Amazonas,Churuja,2018,0.002348
220301,San Martin,San Jose De Sisa,2018,0.00615
010204,Amazonas,El Parco,2018,0.010723
010306,Amazonas,Florida,2018,0.004331
220303,San Martin,San Martin,2018,0.001642
220106,San Martin,Yantalo,2018,0.013823
220305,San Martin,Shatoja,2018,0.004827
010104,Amazonas,Cheto,2018,0.000961
160201,Loreto,Yurimaguas,2018,0.006033
060901,Cajamarca,San Ignacio,2018,0.006669
220511,San Martin,Zapatero,2018,0.003392
060811,Cajamarca,San Jose Del Alto,2018,0.001054
010206,Amazonas,La Peca,2018,0.004789
220401,San Martin,Saposoa,2018,0.003237
060902,Cajamarca,Chirinos,2018,0.003438
220908,San Martin,Juan Guerra,2018,0.007071
060904,Cajamarca,La Coipa,2018,0.002687
220808,San Martin,Yorongos,2018,0.007035
120607,Junin,Rio Negro,2018,0.003299
060812,Cajamarca,Santa Rosa,2018,0.002181
250106,Ucayali,Nueva Requena,2018,0.000573
220802,San Martin,Awajun,2018,0.003757
250302,Ucayali,Irazola,2018,0.000572
010109,Amazonas,La Jalca,2018,0.002723
220906,San Martin,El Porvenir,2018,0.00148
220707,San Martin,San Hilarion,2018,0.019751
220806,San Martin,Posic,2018,0.021448
220406,San Martin,Tingo De Saposoa,2018,0.005086
100901,Huanuco,Puerto Inca,2018,0.001002
010105,Amazonas,Chiliquin,2018,0.0
220105,San Martin,Soritor,2018,0.009478
220201,San Martin,Bellavista,2018,0.027407
060803,Cajamarca,Chontali,2018,0.000866
100605,Huanuco,Luyando,2018,0.015096
010307,Amazonas,Jazan,2018,0.008818
010502,Amazonas,Camporredondo,2018,0.003564
010515,Amazonas,Providencia,2018,0.000718
010102,Amazonas,Asuncion,2018,0.0
010510,Amazonas,Luya Viejo,2018,0.000998
100601,Huanuco,Rupa-Rupa,2018,0.019478
010514,Amazonas,Pisuquia,2018,0.000367
060810,Cajamarca,San Felipe,2018,0.002532
010305,Amazonas,Cuispes,2018,0.001946
060905,Cajamarca,Namballe,2018,0.000708
010119,Amazonas,San Isidro De Maino,2018,0.001293
060801,Cajamarca,Jaen,2018,0.02532
010513,Amazonas,Ocumal,2018,0.000858
220912,San Martin,San Antonio,2018,0.005413
220903,San Martin,Cacatachi,2018,0.054351
120602,Junin,Coviriali,2018,0.003918
120304,Junin,San Luis De Shuaro,2018,0.001301
120601,Junin,Satipo,2018,0.006992
010203,Amazonas,Copallin,2018,0.004398
010112,Amazonas,Magdalena,2018,0.001694
220102,San Martin,Calzada,2018,0.020244
060805,Cajamarca,Huabal,2018,0.002707
010610,Amazonas,Santa Rosa,2018,0.003604
220503,San Martin,Barranquita,2018,0.000731
220801,San Martin,Rioja,2018,0.056631
220703,San Martin,Caspisapa,2018,0.010217
080904,Cusco,Maranura,2018,0.003199
010117,Amazonas,Quinjalca,2018,0.000216
250303,Ucayali,Curimana,2018,0.001087
010308,Amazonas,Recta,2018,0.0
010115,Amazonas,Montevideo,2018,0.001199
010114,Amazonas,Molinopampa,2018,0.000614
010503,Amazonas,Cocabamba,2018,0.000273
060809,Cajamarca,Sallique,2018,0.001476
010120,Amazonas,Soloco,2018,0.000618
010521,Amazonas,Santo Tomas,2018,0.003012
100113,Huanuco,San Pablo De Pillao,2018,0.000495
010602,Amazonas,Chirimoto,2018,0.000491
100603,Huanuco,Hermilio Valdizan,2018,0.000201
010111,Amazonas,Levanto,2018,0.001509
010518,Amazonas,San Jeronimo,2018,0.000715
