geocode,departamento,distrito,km_rios,area_utm_km2,densidad_rios_km_km2
060804,Cajamarca,Colasay,9.763158260578711,604.5171760212695,0.01615034054919095
160503,Loreto,Capelo,73.64803607713382,800.6108788406436,0.09198980181706097
220910,San Martin,Morales,0.0,50.67173509865692,0.0
120604,Junin,Mazamari,69.56897324947789,1258.0455892779883,0.05529924657929495
120603,Junin,Llaylla,0.0,308.1774618593672,0.0
010520,Amazonas,Santa Catalina,0.0,164.9991719613166,0.0
010603,Amazonas,Cochamal,0.0,180.94631323914746,0.0
120209,Junin,Mariscal Castilla,11.63657701973532,56.22632683405388,0.20695958059076952
010601,Amazonas,San Nicolas,5.7709167784276065,102.24691144118162,0.056440988750524494
010519,Amazonas,San Juan De Lopecancha,7.463394683687786,86.44138997486193,0.08634052143143718
160211,Loreto,Teniente Cesar Lopez Rojas,46.02546525039262,1319.7711555531384,0.03487382267503988
080408,Cusco,Yanatile,125.98244201876861,1995.904304599465,0.06312048214358182
050408,Ayacucho,Llochegua,38.33151996396248,515.6743692564535,0.07433280040509357
100507,Huanuco,Monzon,64.81619658211604,1403.418057898752,0.04618452514367755
081304,Cusco,Machupicchu,37.822782712608095,361.51240729208814,0.10462374720668643
220909,San Martin,La Banda De Shilcayo,0.0,266.5510248182154,0.0
220103,San Martin,Habana,0.0,68.82802683644364,0.0
100606,Huanuco,Mariano Damaso Beraun,32.52642475545412,746.1763353545031,0.04359080181764415
010508,Amazonas,Lonya Chico,0.7798147861805114,69.62765364064137,0.01119978550771294
170102,Madre De Dios,Inambari,145.69397392226335,4881.604869792275,0.029845507329736624
050502,Ayacucho,Anco,55.63046463564085,748.4385395672449,0.07432870128228161
010523,Amazonas,Trita,0.0,14.010772161219622,0.0
010516,Amazonas,San Cristobal,1.9365098698327379,35.59753415572679,0.054400112697727404
080918,Cusco,Union Ashaninka,5.568845657404612,307.04834584105095,0.018136706264125012
221006,San Martin,Santa Lucia,28.047602236374097,268.27874108439516,0.10454649564480727
100702,Huanuco,Cholon,96.66718655709263,2201.918127337634,0.04390135371380684
211205,Puno,Phara,4.214088530034881,435.70861237557716,0.009671804527936144
170204,Madre De Dios,Huepetuhe,44.1848651810781,1530.4343735300665,0.028870800306949624
010302,Amazonas,Chisquilla,0.0,162.00708691892777,0.0
050507,Ayacucho,Santa Rosa,10.007324337957044,389.05480520560724,0.025722145579639828
220804,San Martin,Nueva Cajamarca,0.0,334.30703761015315,0.0
220809,San Martin,Yuracyacu,10.470672759398626,62.10182436893999,0.16860491403913566
160603,Loreto,Padre Marquez,88.71735614893954,2434.919583357681,0.0364354357964467
010522,Amazonas,Tingo,8.338132279330221,109.17575982592447,0.07637347605938327
080906,Cusco,Quellouno,139.5943447019359,1966.819955909866,0.07097464324707774
010301,Amazonas,Jumbilla,0.0,158.86598236186447,0.0
080917,Cusco,Manitea,8.380531859288094,142.64220767243648,0.05875211829680276
