geocode,departamento,distrito,km_carreteras,area_utm_km2,densidad_carreteras_km_km2
081304,Cusco,Machupicchu,9.223161525806285,361.51240729208814,0.025512710877318035
220909,San Martin,La Banda De Shilcayo,74.12859835509612,266.5510248182154,0.2781028450580932
220103,San Martin,Habana,44.68490759157599,68.82802683644364,0.6492254630190248
100606,Huanuco,Mariano Damaso Beraun,138.2133132454207,746.1763353545031,0.1852287545138463
010508,Amazonas,Lonya Chico,35.456822716808624,69.62765364064137,0.509234777604406
170102,Madre De Dios,Inambari,281.6127613122655,4881.604869792275,0.0576885612055383
050502,Ayacucho,Anco,210.85175431353056,748.4385395672449,0.28172220318243807
010523,Amazonas,Trita,6.744877941134927,14.010772161219622,0.48140658227274985
010516,Amazonas,San Cristobal,10.464097592459193,35.59753415572679,0.2939556865563333
080918,Cusco,Union Ashaninka,53.229449397761755,307.04834584105095,0.17335852844918737
221006,San Martin,Santa Lucia,52.94871709122284,268.27874108439516,0.19736456521751095
100702,Huanuco,Cholon,150.84803893051338,2201.918127337634,0.0685075603210123
211205,Puno,Phara,47.094736774208286,435.70861237557716,0.1080876885068616
170204,Madre De Dios,Huepetuhe,128.53634532605852,1530.4343735300665,0.08398683899759739
010302,Amazonas,Chisquilla,9.549536324585624,162.00708691892777,0.058945176449993454
050507,Ayacucho,Santa Rosa,107.83277447160108,389.05480520560724,0.27716602655662803
220804,San Martin,Nueva Cajamarca,91.79604450173045,334.30703761015315,0.2745860367102919
220809,San Martin,Yuracyacu,55.23699972132453,62.10182436893999,0.8894585671616939
160603,Loreto,Padre Marquez,36.29805978899825,2434.919583357681,0.014907293052752206
010522,Amazonas,Tingo,36.910019157135494,109.17575982592447,0.33807888505641503
080906,Cusco,Quellouno,912.5711246355704,1966.819955909866,0.4639830513685265
010301,Amazonas,Jumbilla,8.641352998809479,158.86598236186447,0.05439397956905734
080917,Cusco,Manitea,75.50599647293622,142.64220767243648,0.5293383894220718
