geocode,departamento,distrito,anio,pct_rios_lagos
220305,San Martin,Shatoja,1995,0.003968
010104,Amazonas,Cheto,1995,0.0
160201,Loreto,Yurimaguas,1995,0.028576
060901,Cajamarca,San Ignacio,1995,0.003005
220511,San Martin,Zapatero,1995,0.002979
060811,Cajamarca,San Jose Del Alto,1995,0.00194
010206,Amazonas,La Peca,1995,0.0
220401,San Martin,Saposoa,1995,0.004388
060902,Cajamarca,Chirinos,1995,0.006761
220908,San Martin,Juan Guerra,1995,0.02994
060904,Cajamarca,La Coipa,1995,0.001499
220808,San Martin,Yorongos,1995,0.013635
120607,Junin,Rio Negro,1995,0.00449
060812,Cajamarca,Santa Rosa,1995,0.01193
250106,Ucayali,Nueva Requena,1995,0.022493
220802,San Martin,Awajun,1995,0.007045
250302,Ucayali,Irazola,1995,0.004144
010109,Amazonas,La Jalca,1995,0.001368
220906,San Martin,El Porvenir,1995,0.020927
220707,San Martin,San Hilarion,1995,0.028124
220806,San Martin,Posic,1995,0.016982
220406,San Martin,Tingo De Saposoa,1995,0.060497
100901,Huanuco,Puerto Inca,1995,0.01444
010105,Amazonas,Chiliquin,1995,0.0
220105,San Martin,Soritor,1995,0.004971
220201,San Martin,Bellavista,1995,0.030815
060803,Cajamarca,Chontali,1995,0.003324
100605,Huanuco,Luyando,1995,0.031767
010307,Amazonas,Jazan,1995,0.003558
010502,Amazonas,Camporredondo,1995,0.000654
010515,Amazonas,Providencia,1995,0.002771
010102,Amazonas,Asuncion,1995,0.0
010510,Amazonas,Luya Viejo,1995,5.3e-05
100601,Huanuco,Rupa-Rupa,1995,0.020999
010514,Amazonas,Pisuquia,1995,0.001525
060810,Cajamarca,San Felipe,1995,0.004682
010305,Amazonas,Cuispes,1995,6.5e-05
060905,Cajamarca,Namballe,1995,0.002171
010119,Amazonas,San Isidro De Maino,1995,0.0
060801,Cajamarca,Jaen,1995,0.002555
010513,Amazonas,Ocumal,1995,0.001266
220912,San Martin,San Antonio,1995,0.00177
220903,San Martin,Cacatachi,1995,0.019715
120602,Junin,Coviriali,1995,0.001483
120304,Junin,San Luis De Shuaro,1995,0.00439
120601,Junin,Satipo,1995,0.005372
010203,Amazonas,Copallin,1995,0.005414
010112,Amazonas,Magdalena,1995,0.001293
220102,San Martin,Calzada,1995,0.007966
060805,Cajamarca,Huabal,1995,0.0
010610,Amazonas,Santa Rosa,1995,8.8e-05
220503,San Martin,Barranquita,1995,0.006156
220801,San Martin,Rioja,1995,0.004234
220703,San Martin,Caspisapa,1995,0.023645
080904,Cusco,Maranura,1995,0.007103
010117,Amazonas,Quinjalca,1995,0.0
250303,Ucayali,Curimana,1995,0.014383
010308,Amazonas,Recta,1995,0.000856
010115,Amazonas,Montevideo,1995,0.000397
010114,Amazonas,Molinopampa,1995,0.0004
010503,Amazonas,Cocabamba,1995,0.001558
060809,Cajamarca,Sallique,1995,0.007768
010120,Amazonas,Soloco,1995,4.8e-05
010521,Amazonas,Santo Tomas,1995,0.000642
100113,Huanuco,San Pablo De Pillao,1995,0.002395
010602,Amazonas,Chirimoto,1995,0.00063
100603,Huanuco,Hermilio Valdizan,1995,0.002487
010111,Amazonas,Levanto,1995,0.002661
010518,Amazonas,San Jeronimo,1995,0.001053
010609,Amazonas,Omia,1995,0.000111
100902,Huanuco,Codo Del Pozuzo,1995,0.009205
010113,Amazonas,Mariscal Castilla,1995,0.001408
220101,San Martin,Moyobamba,1995,0.004093
010310,Amazonas,Shipasbamba,1995,0.003243
100103,Huanuco,Chinchao,1995,0.002308
010311,Amazonas,Valera,1995,0.002599
060907,Cajamarca,Tabaconas,1995,0.001498
160112,Loreto,Belen,1995,0.119475
200307,Piura,Sondor,1995,0.002626
220803,San Martin,Elias Soplin Vargas,1995,0.000184
010506,Amazonas,Inguilpata,1995,0.00051
220506,San Martin,Pinto Recodo,1995,0.002997
120303,Junin,Pichanaqui,1995,0.004932
010202,Amazonas,Aramango,1995,0.006882
010606,Amazonas,Longar,1995,1.1e-05
160101,Loreto,Iquitos,1995,0.041628
010507,Amazonas,Longuita,1995,0.000227
221001,San Martin,Tocache,1995,0.017653
010511,Amazonas,Maria,1995,0.0
080901,Cusco,Santa Ana,1995,0.006793
120302,Junin,Perene,1995,0.004504
050409,Ayacucho,Canayre,1995,0.01745
