geocode,departamento,distrito,pendiente_media_deg,pendiente_mediana_deg,pendiente_std_deg,pendiente_min_deg,pendiente_max_deg,pendiente_count_px
010521,Amazonas,Santo Tomas,22.980908749765465,22.805801391601562,8.91141601191055,0.11944229155778885,72.42401123046875,95934
100113,Huanuco,San Pablo De Pillao,26.33539956361977,25.442302703857422,11.957477993383174,0.12127148360013962,86.85782623291016,631101
010602,Amazonas,Chirimoto,20.017228542134557,18.305374145507812,10.749510172431533,0.014769760891795158,72.59369659423828,163856
100603,Huanuco,Hermilio Valdizan,18.403183682598787,18.555023193359375,7.825018405348197,0.0260921623557806,59.559505462646484,304019
010111,Amazonas,Levanto,20.463671463671464,18.703880310058594,10.204400833664202,0.06117793917655945,73.52079772949219,79772
010518,Amazonas,San Jeronimo,24.941897652179797,24.35175895690918,12.098606929209602,0.06574367731809616,77.7254409790039,221695
010609,Amazonas,Omia,21.759011281298726,20.639245986938477,10.006681150105162,0.06890785694122314,76.20709228515625,239866
100902,Huanuco,Codo Del Pozuzo,14.550160434667884,9.320080757141113,12.824441153792241,0.0,80.31953430175781,3429745
010113,Amazonas,Mariscal Castilla,16.897575310522058,16.166662216186523,8.045612660107745,0.052695516496896744,64.02235412597656,84052
220101,San Martin,Moyobamba,11.582030490166433,9.998327255249023,8.386985164278308,2.5444437748716082e-14,70.02958679199219,2873779
010310,Amazonas,Shipasbamba,29.559614363392942,28.688827514648438,12.451486085813038,0.13849319517612457,75.08092498779297,133701
100103,Huanuco,Chinchao,27.301161120797794,27.23735809326172,9.582110833182174,0.042766861617565155,78.78311920166016,858567
010311,Amazonas,Valera,23.17973266981597,20.477149963378906,13.317932444512957,0.13606220483779907,75.47772216796875,83193
060907,Cajamarca,Tabaconas,26.72921297601574,27.203346252441406,9.871109942096949,0.0,87.08978271484375,826417
160112,Loreto,Belen,2.5115850440030316,1.971797227859497,2.428342908607667,0.0,58.43915939331055,695293
200307,Piura,Sondor,27.113876356741205,28.220544815063477,10.746132091560774,0.07421563565731049,72.83181762695312,367056
220803,San Martin,Elias Soplin Vargas,19.06820801400872,18.92066764831543,13.133013510717277,7.196773423511979e-14,85.02255249023438,180459
010506,Amazonas,Inguilpata,22.54542002547287,21.9664306640625,9.572291463068545,0.09459684044122696,75.77179718017578,126409
220506,San Martin,Pinto Recodo,17.7338493184701,15.9259614944458,10.260194647579324,0.0074316514655947685,84.98876953125,596012
120303,Junin,Pichanaqui,21.32905354224278,21.033893585205078,9.859070419336394,0.0,88.16615295410156,1322806
010202,Amazonas,Aramango,24.107581854043392,23.889230728149414,10.345147979454527,0.0,77.27885437011719,823875
010606,Amazonas,Longar,18.943098952389647,16.876766204833984,13.034194434682135,0.0016998326173052192,72.27854919433594,87628
160101,Loreto,Iquitos,2.978914810728903,2.5475668907165527,2.0945701107717913,0.0,22.585243225097656,390683
010507,Amazonas,Longuita,24.208840123387727,23.972047805786133,8.78926199493089,0.0493275448679924,70.28055572509766,62567
221001,San Martin,Tocache,15.741078302285585,14.643193244934082,11.70863219717745,0.0,69.3488540649414,1071629
010511,Amazonas,Maria,26.070590876532783,26.457496643066406,7.652537125332895,0.3787219524383545,66.477783203125,93539
080901,Cusco,Santa Ana,28.10083918799393,28.934173583984375,10.651150459713882,0.036422401666641235,73.06625366210938,417189
120302,Junin,Perene,21.58271792324624,21.27912712097168,9.867457870853846,0.0020182994194328785,73.34423828125,1586476
050409,Ayacucho,Canayre,24.08094742685179,24.86421012878418,12.410058165572634,0.0,74.94373321533203,286439
221002,San Martin,Nuevo Progreso,15.379469365208626,14.696647644042969,10.203291609219317,0.0,71.19571685791016,878005
200303,Piura,El Carmen De La Frontera,26.397496087636934,26.67285919189453,10.326328974133068,0.0,78.10821533203125,702900
100609,Huanuco,Pueblo Nuevo,13.91843716716009,13.617284774780273,9.51154801514995,2.5444437748716082e-14,61.238426208496094,340817
080903,Cusco,Huayopata,30.182889570964807,30.85549545288086,10.900451739089284,0.06131749972701073,74.9134521484375,564942
010604,Amazonas,Huambo,10.865590853599574,10.025437355041504,7.6794236551214485,0.0,49.81751251220703,82732
100505,Huanuco,Jircan,25.657781668666757,25.65778923034668,9.439872502920354,0.030181949958205223,76.12086486816406,254155
010512,Amazonas,Ocalli,26.071972959712152,25.22749137878418,10.127504773566894,0.09568408131599426,79.1314926147461,183430
010101,Amazonas,Chachapoyas,20.772515585004104,20.089332580566406,10.811424772060322,0.03877515718340874,71.10832977294922,163298
060903,Cajamarca,Huarango,19.82789147985485,18.410503387451172,10.733243471148086,0.02815551869571209,78.18817901611328,969737
010116,Amazonas,Olleros,19.087435523413678,18.17123031616211,9.385596712166636,0.05341271311044693,65.64839172363281,113801
010605,Amazonas,Limabamba,21.470242783955253,20.875438690185547,10.528922090218614,0.0,87.53482055664062,655068
100804,Huanuco,Umari,24.210960157385205,23.369705200195312,9.051140305531979,0.03922023996710777,69.49190521240234,167233
220504,San Martin,Caynarachi,12.326034651011437,6.945035457611084,11.999856307730136,1.2722218874358041e-14,79.74752807617188,1353669
080905,Cusco,Ocobamba,29.355717472571815,29.70147705078125,10.536535930321783,0.0,76.89310455322266,919401
010517,Amazonas,San Francisco Del Yeso,23.850756934698257,23.30988311767578,9.70505916205893,0.13188277184963226,71.73003387451172,193808
120609,Junin,Vizcatán Del Ene,25.915460412861275,26.411144256591797,12.9603535246598,0.0,77.71125793457031,646561
060807,Cajamarca,Pomahuaca,27.159193782462133,28.049617767333984,9.62633933550576,0.007985363714396954,75.80686950683594,868897
010304,Amazonas,Corosha,19.48062971243205,18.845027923583984,8.796694414318274,0.11883805692195892,63.11974334716797,68436
221005,San Martin,Uchiza,14.324145841893591,12.451949119567871,11.571126221858993,0.0,67.9620590209961,642504
220807,San Martin,San Fernando,2.0946915692424675,1.7439631223678589,1.468039373200366,0.0,13.139289855957031,73647
050512,Ayacucho,Union Progreso,16.903493751502044,16.426685333251953,8.656239185974444,0.0,65.7581558227539,41610
060804,Cajamarca,Colasay,24.76462217250808,24.978435516357422,9.493032270889735,0.015004370361566544,67.36548614501953,643680
160503,Loreto,Capelo,2.1739910561151348,1.759730577468872,1.8214470979239312,0.0,35.26906967163086,852426
220910,San Martin,Morales,6.294031405242085,4.702601432800293,5.234800284530892,0.020142298191785812,35.03032302856445,53948
120604,Junin,Mazamari,17.395317655841733,16.83342170715332,8.743140936430587,0.0,71.85446166992188,1339500
120603,Junin,Llaylla,23.788711835172435,23.537128448486328,12.594055519815099,0.009279567748308182,88.8014907836914,328149
010520,Amazonas,Santa Catalina,23.196910273851742,22.767642974853516,10.7785045672204,0.07759446650743484,73.9201889038086,175679
010603,Amazonas,Cochamal,19.678839646241837,19.196426391601562,9.370339884583611,0.014335816726088524,68.62899017333984,192674
120209,Junin,Mariscal Castilla,32.66741138542746,33.591331481933594,10.938022835027947,0.2030075043439865,72.41425323486328,59866
010601,Amazonas,San Nicolas,18.538130844555493,17.685930252075195,9.523746786944761,1.0177775099486433e-13,65.61268615722656,108862
010519,Amazonas,San Juan De Lopecancha,25.725502608128668,24.81056785583496,11.3184669109838,0.11050000786781311,75.5576400756836,92020
160211,Loreto,Teniente Cesar Lopez Rojas,4.403054750818555,3.8173770904541016,2.9956194411291177,0.0,34.638031005859375,1405221
080408,Cusco,Yanatile,29.7851926129169,30.441974639892578,9.973844156743024,0.0,78.16596221923828,2125169
050408,Ayacucho,Llochegua,25.684925543850447,25.908832550048828,11.541856873290431,0.0,86.79900360107422,549048
100507,Huanuco,Monzon,26.449981663557057,27.03365135192871,10.753446527108565,0.0,80.25115203857422,1494292
081304,Cusco,Machupicchu,35.08118162664609,35.86893081665039,11.519426118231694,0.11029450595378876,77.21520233154297,384927
220909,San Martin,La Banda De Shilcayo,17.86704146244349,15.654924392700195,11.782158083293321,0.00659993477165699,75.81156921386719,283799
220103,San Martin,Habana,2.3979100288595365,1.8398114442825317,1.9244173779322489,0.0,17.454347610473633,73286
100606,Huanuco,Mariano Damaso Beraun,24.511239716854792,24.3970890045166,10.626433142679609,0.018507977947592735,77.93917083740234,794504
010508,Amazonas,Lonya Chico,18.688148380482147,17.651935577392578,9.202672564511515,0.051426000893116,72.50448608398438,74127
170102,Madre De Dios,Inambari,3.7853558509142107,2.594919443130493,3.7462782799776653,0.0,61.396114349365234,5197598
050502,Ayacucho,Anco,28.890622588259507,29.50584602355957,11.428257183182785,0.0,88.39016723632812,796883
010523,Amazonas,Trita,12.097082494969818,9.878414154052734,8.693748715362872,0.07920675724744797,61.958614349365234,14910
010516,Amazonas,San Cristobal,23.199022272655302,19.527006149291992,14.6848418687015,0.10968974232673645,75.45984649658203,37894
080918,Cusco,Union Ashaninka,20.509164798120544,18.83634376525879,11.953940486968154,0.0,71.63152313232422,326903
221006,San Martin,Santa Lucia,5.389060356052757,2.5438015460968018,6.674980027067673,0.0,60.451847076416016,285688
100702,Huanuco,Cholon,24.557133004308376,25.175256729125977,11.612850475669802,0.0,81.53645324707031,2344503
211205,Puno,Phara,30.305472684003586,30.849849700927734,11.251829749475025,2.0355550198972866e-13,82.6297836303711,463904
170204,Madre De Dios,Huepetuhe,11.623843746797348,10.524065971374512,7.775243503860405,0.0,56.265708923339844,1629509
010302,Amazonas,Chisquilla,21.03622795626616,19.152448654174805,11.016464020820491,0.034127745777368546,77.46243286132812,172498
050507,Ayacucho,Santa Rosa,24.37865880007049,24.281721115112305,12.50249446966266,0.0,76.53491973876953,414241
220804,San Martin,Nueva Cajamarca,17.94593474577938,16.789464950561523,14.522317088276802,0.0,82.0994644165039,355931
220809,San Martin,Yuracyacu,2.0030946161522993,1.6388146877288818,1.4694143590075128,2.5444437748716082e-14,13.955669403076172,66133
160603,Loreto,Padre Marquez,3.890004543704809,3.0217013359069824,3.2090893153466853,0.0,47.96266174316406,2592598
010522,Amazonas,Tingo,26.69485426954113,26.530590057373047,10.489338039858628,0.13733907043933868,74.86348724365234,116242
080906,Cusco,Quellouno,26.929302248288785,27.362258911132812,9.279130918770388,0.00987289845943451,73.79520416259766,2094126
010301,Amazonas,Jumbilla,20.682092543437008,19.487628936767578,10.24961359191807,0.023311113938689232,70.27356719970703,169153
080917,Cusco,Manitea,26.061087261402317,25.471494674682617,11.277910220947538,0.0,83.07549285888672,151877
