geocode,departamento,distrito,anio,pct_anp,tiene_anp
250303,Ucayali,Curimana,2009,0.0,0
010308,Amazonas,Recta,2009,0.0,0
010115,Amazonas,Montevideo,2009,0.0,0
010114,Amazonas,Molinopampa,2009,0.0,0
010503,Amazonas,Cocabamba,2009,0.0,0
060809,Cajamarca,Sallique,2009,0.0,0
010120,Amazonas,Soloco,2009,0.0,0
010521,Amazonas,Santo Tomas,2009,0.0,0
100113,Huanuco,San Pablo De Pillao,2009,0.0,0
010602,Amazonas,Chirimoto,2009,0.0,0
100603,Huanuco,Hermilio Valdizan,2009,0.0,0
010111,Amazonas,Levanto,2009,0.0,0
010518,Amazonas,San Jeronimo,2009,0.0,0
010609,Amazonas,Omia,2009,0.0,0
100902,Huanuco,Codo Del Pozuzo,2009,0.0,0
010113,Amazonas,Mariscal Castilla,2009,0.0,0
220101,San Martin,Moyobamba,2009,0.179031,1
010310,Amazonas,Shipasbamba,2009,0.0,0
100103,Huanuco,Chinchao,2009,0.0,0
010311,Amazonas,Valera,2009,0.0,0
060907,Cajamarca,Tabaconas,2009,0.124004,1
160112,Loreto,Belen,2009,0.0,0
200307,Piura,Sondor,2009,0.0,0
220803,San Martin,Elias Soplin Vargas,2009,0.415131,1
010506,Amazonas,Inguilpata,2009,0.0,0
220506,San Martin,Pinto Recodo,2009,0.405655,1
120303,Junin,Pichanaqui,2009,0.106598,1
010202,Amazonas,Aramango,2009,0.000764,1
010606,Amazonas,Longar,2009,0.0,0
160101,Loreto,Iquitos,2009,0.148529,1
010507,Amazonas,Longuita,2009,0.00079,1
221001,San Martin,Tocache,2009,0.0,0
010511,Amazonas,Maria,2009,0.0,0
080901,Cusco,Santa Ana,2009,0.0,0
120302,Junin,Perene,2009,0.050018,1
050409,Ayacucho,Canayre,2009,0.0,0
221002,San Martin,Nuevo Progreso,2009,0.001566,1
200303,Piura,El Carmen De La Frontera,2009,0.001006,1
100609,Huanuco,Pueblo Nuevo,2009,0.0,0
080903,Cusco,Huayopata,2009,0.000284,1
010604,Amazonas,Huambo,2009,0.0,0
100505,Huanuco,Jircan,2009,0.0,0
010512,Amazonas,Ocalli,2009,0.0,0
010101,Amazonas,Chachapoyas,2009,0.0233,1
060903,Cajamarca,Huarango,2009,0.0,0
010116,Amazonas,Olleros,2009,0.034633,1
010605,Amazonas,Limabamba,2009,0.0,0
100804,Huanuco,Umari,2009,0.0,0
220504,San Martin,Caynarachi,2009,0.375236,1
080905,Cusco,Ocobamba,2009,0.0,0
010517,Amazonas,San Francisco Del Yeso,2009,0.0,0
120609,Junin,Vizcatán Del Ene,2009,0.0,0
060807,Cajamarca,Pomahuaca,2009,0.0,0
010304,Amazonas,Corosha,2009,0.000488,1
221005,San Martin,Uchiza,2009,0.000699,1
220807,San Martin,San Fernando,2009,0.0,0
050512,Ayacucho,Union Progreso,2009,0.0,0
060804,Cajamarca,Colasay,2009,0.0,0
160503,Loreto,Capelo,2009,0.0,0
220910,San Martin,Morales,2009,0.0,0
120604,Junin,Mazamari,2009,0.0,0
120603,Junin,Llaylla,2009,0.0,0
010520,Amazonas,Santa Catalina,2009,0.0,0
010603,Amazonas,Cochamal,2009,0.0,0
120209,Junin,Mariscal Castilla,2009,0.0,0
010601,Amazonas,San Nicolas,2009,0.0,0
010519,Amazonas,San Juan De Lopecancha,2009,0.0,0
160211,Loreto,Teniente Cesar Lopez Rojas,2009,0.0,0
080408,Cusco,Yanatile,2009,0.002679,1
050408,Ayacucho,Llochegua,2009,0.0,0
100507,Huanuco,Monzon,2009,0.0,0
081304,Cusco,Machupicchu,2009,0.905961,1
220909,San Martin,La Banda De Shilcayo,2009,0.541966,1
220103,San Martin,Habana,2009,0.0,0
100606,Huanuco,Mariano Damaso Beraun,2009,0.06402,1
010508,Amazonas,Lonya Chico,2009,0.0,0
170102,Madre De Dios,Inambari,2009,0.372706,1
050502,Ayacucho,Anco,2009,0.0,0
010523,Amazonas,Trita,2009,0.0,0
010516,Amazonas,San Cristobal,2009,0.0,0
080918,Cusco,Union Ashaninka,2009,0.07284,1
221006,San Martin,Santa Lucia,2009,0.0,0
100702,Huanuco,Cholon,2009,0.0,0
211205,Puno,Phara,2009,0.0,0
170204,Madre De Dios,Huepetuhe,2009,0.362182,1
